entidad,modo,regional,OOS::prophet+deepar+ensemble+stacking,sel::prophet+deepar+ensemble+stacking,OOS::deepar+ensemble+stacking,sel::deepar+ensemble+stacking,OOS::prophet+ensemble+stacking,sel::prophet+ensemble+stacking,OOS::prophet+deepar+stacking,sel::prophet+deepar+stacking,OOS::prophet+deepar+ensemble,sel::prophet+deepar+ensemble,OOS::prophet,sel::prophet,OOS::deepar,sel::deepar,OOS::ensemble,sel::ensemble,OOS::stacking,sel::stacking
Ciudad de México,mujeres,False,26.77153014880553,deepar,26.77153014880553,deepar,19.775052129109262,ensemble,26.77153014880553,deepar,26.77153014880553,deepar,18.33807048025663,prophet,26.77153014880553,deepar,19.775052129109262,ensemble,42.25432887848839,stacking
Ciudad de México,general,False,19.932726024740184,deepar,19.932726024740184,deepar,18.967065190315367,ensemble,19.932726024740184,deepar,19.932726024740184,deepar,14.194937724474965,prophet,19.932726024740184,deepar,18.967065190315367,ensemble,39.50223613134911,stacking
Coahuila,hombres,False,29.051367737128924,deepar,29.051367737128924,deepar,30.674835352693965,ensemble,29.051367737128924,deepar,29.051367737128924,deepar,30.417502193475276,prophet,29.051367737128924,deepar,30.674835352693965,ensemble,35.448529090397805,stacking
Coahuila,mujeres,False,21.38750700760057,deepar,21.38750700760057,deepar,18.226560779525702,ensemble,21.38750700760057,deepar,21.38750700760057,deepar,17.025148445180427,prophet,21.38750700760057,deepar,18.226560779525702,ensemble,28.90956690899511,stacking
Coahuila,general,False,34.62547336958667,deepar,34.62547336958667,deepar,19.695618809782,ensemble,34.62547336958667,deepar,34.62547336958667,deepar,20.858480098813764,prophet,34.62547336958667,deepar,19.695618809782,ensemble,29.478312923200257,stacking
Colima,hombres,False,37.424882910790515,deepar,37.424882910790515,deepar,80.34153160300352,stacking,37.424882910790515,deepar,37.424882910790515,deepar,58.33445873791652,prophet,37.424882910790515,deepar,57.43225291749603,ensemble,80.34153160300352,stacking
Colima,mujeres,False,34.33645657785179,deepar,34.33645657785179,deepar,55.378190391750024,stacking,34.33645657785179,deepar,34.33645657785179,deepar,36.746479780845284,prophet,34.33645657785179,deepar,30.568197888671868,ensemble,55.378190391750024,stacking
Colima,general,False,23.745745283413143,deepar,23.745745283413143,deepar,68.19237443402622,stacking,23.745745283413143,deepar,23.745745283413143,deepar,42.711149295744924,prophet,23.745745283413143,deepar,26.857496903451604,ensemble,68.19237443402622,stacking
Durango,hombres,False,29.067235689291437,deepar,29.067235689291437,deepar,35.83346569077144,prophet,29.067235689291437,deepar,29.067235689291437,deepar,35.83346569077144,prophet,29.067235689291437,deepar,33.644751118120475,ensemble,34.33430987709051,stacking
Durango,mujeres,False,46.239942774659745,deepar,46.239942774659745,deepar,32.9434844426077,prophet,46.239942774659745,deepar,46.239942774659745,deepar,32.9434844426077,prophet,46.239942774659745,deepar,30.008415862098715,ensemble,27.859739215219072,stacking
Durango,general,False,26.747472556079327,deepar,26.747472556079327,deepar,26.33588639598008,prophet,26.747472556079327,deepar,26.747472556079327,deepar,26.33588639598008,prophet,26.747472556079327,deepar,24.831599382636014,ensemble,23.03993322523063,stacking
Guanajuato,hombres,False,31.728398527275903,deepar,31.728398527275903,deepar,27.736102914429285,ensemble,31.728398527275903,deepar,31.728398527275903,deepar,37.38063864219201,prophet,31.728398527275903,deepar,27.736102914429285,ensemble,34.02180292704927,stacking
