ds,entidad,padecimiento,meta_modo,yhat
2026-11-16,Nayarit,Parkinson,hombres,1
2026-11-16,Nayarit,Parkinson,mujeres,0
2026-11-23,Nayarit,Parkinson,general,1
2026-11-23,Nayarit,Parkinson,hombres,1
2026-11-23,Nayarit,Parkinson,mujeres,0
2026-11-30,Nayarit,Parkinson,general,1
2026-11-30,Nayarit,Parkinson,hombres,1
2026-11-30,Nayarit,Parkinson,mujeres,0
2026-12-07,Nayarit,Parkinson,general,1
2026-12-07,Nayarit,Parkinson,hombres,1
2026-12-07,Nayarit,Parkinson,mujeres,0
2026-12-14,Nayarit,Parkinson,general,1
2026-12-14,Nayarit,Parkinson,hombres,0
2026-12-14,Nayarit,Parkinson,mujeres,0
2026-12-21,Nayarit,Parkinson,general,1
2026-12-21,Nayarit,Parkinson,hombres,0
2026-12-21,Nayarit,Parkinson,mujeres,0
2026-12-28,Nayarit,Parkinson,general,1
2026-12-28,Nayarit,Parkinson,hombres,0
2026-12-28,Nayarit,Parkinson,mujeres,0
2027-01-04,Nayarit,Parkinson,general,1
2027-01-04,Nayarit,Parkinson,hombres,0
2027-01-04,Nayarit,Parkinson,mujeres,0
2027-01-11,Nayarit,Parkinson,general,1
2027-01-11,Nayarit,Parkinson,hombres,0
2027-01-11,Nayarit,Parkinson,mujeres,0
2027-01-18,Nayarit,Parkinson,general,1
2027-01-18,Nayarit,Parkinson,hombres,1
2027-01-18,Nayarit,Parkinson,mujeres,0
2027-01-25,Nayarit,Parkinson,general,1
2027-01-25,Nayarit,Parkinson,hombres,1
2027-01-25,Nayarit,Parkinson,mujeres,0
2026-02-02,Nuevo León,Parkinson,general,4
2026-02-02,Nuevo León,Parkinson,hombres,2
2026-02-02,Nuevo León,Parkinson,mujeres,1
2026-02-09,Nuevo León,Parkinson,general,5
2026-02-09,Nuevo León,Parkinson,hombres,2
2026-02-09,Nuevo León,Parkinson,mujeres,2
2026-02-16,Nuevo León,Parkinson,general,4
2026-02-16,Nuevo León,Parkinson,hombres,2
2026-02-16,Nuevo León,Parkinson,mujeres,1
2026-02-23,Nuevo León,Parkinson,general,4
2026-02-23,Nuevo León,Parkinson,hombres,2
2026-02-23,Nuevo León,Parkinson,mujeres,2
2026-03-02,Nuevo León,Parkinson,general,7
2026-03-02,Nuevo León,Parkinson,hombres,3
2026-03-02,Nuevo León,Parkinson,mujeres,1
2026-03-09,Nuevo León,Parkinson,general,4
2026-03-09,Nuevo León,Parkinson,hombres,1
2026-03-09,Nuevo León,Parkinson,mujeres,1
2026-03-16,Nuevo León,Parkinson,general,5
2026-03-16,Nuevo León,Parkinson,hombres,2
2026-03-16,Nuevo León,Parkinson,mujeres,2
2026-03-23,Nuevo León,Parkinson,general,4
2026-03-23,Nuevo León,Parkinson,hombres,2
2026-03-23,Nuevo León,Parkinson,mujeres,2
2026-03-30,Nuevo León,Parkinson,general,3
2026-03-30,Nuevo León,Parkinson,hombres,1
2026-03-30,Nuevo León,Parkinson,mujeres,0
2026-04-06,Nuevo León,Parkinson,general,2
2026-04-06,Nuevo León,Parkinson,hombres,2
2026-04-06,Nuevo León,Parkinson,mujeres,2
2026-04-13,Nuevo León,Parkinson,general,5
2026-04-13,Nuevo León,Parkinson,hombres,1
2026-04-13,Nuevo León,Parkinson,mujeres,3
2026-04-20,Nuevo León,Parkinson,general,3
2026-04-20,Nuevo León,Parkinson,hombres,1
2026-04-20,Nuevo León,Parkinson,mujeres,1
2026-04-27,Nuevo León,Parkinson,general,1
