disease_id,data_name,cohorte,entidad,sexo,motor_productivo,source
parkinson,Parkinson,neuro,Baja California Sur,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Baja California Sur,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Baja California Sur,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Campeche,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Campeche,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Campeche,general,Ensemble,tabla_333
parkinson,Parkinson,neuro,Chiapas,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Chiapas,mujeres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Chiapas,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Chihuahua,hombres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Chihuahua,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Chihuahua,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Ciudad de México,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Ciudad de México,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Ciudad de México,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Coahuila,hombres,Ensemble,tabla_333
parkinson,Parkinson,neuro,Coahuila,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Coahuila,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Colima,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Colima,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Colima,general,Ensemble,tabla_333
parkinson,Parkinson,neuro,Durango,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Durango,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Durango,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Guanajuato,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Guanajuato,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Guanajuato,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Guerrero,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Guerrero,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Guerrero,general,Prophet,tabla_333
parkinson,Parkinson,neuro,Hidalgo,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Hidalgo,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Hidalgo,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Jalisco,hombres,Stacking,tabla_333
parkinson,Parkinson,neuro,Jalisco,mujeres,Stacking,tabla_333
parkinson,Parkinson,neuro,Jalisco,general,Stacking,tabla_333
parkinson,Parkinson,neuro,Michoacán,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Michoacán,mujeres,DeepAR,tabla_333
parkinson,Parkinson,neuro,Michoacán,general,DeepAR,tabla_333
parkinson,Parkinson,neuro,Morelos,hombres,Prophet,tabla_333
parkinson,Parkinson,neuro,Morelos,mujeres,Prophet,tabla_333
parkinson,Parkinson,neuro,Morelos,general,Prophet,tabla_333
